Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Ryan Rolison","CHC",42.2,94.25619718309859,110.24830188679243,,,109.29656565656568,104.04451612903225,88.18444444444444,,,101.83462686567162,103.20119402985078,105.49979104477612,"Ryan Rolison",22200,669020
"Wandy Peralta","SDP",56,100.25681818181816,98.33232492997199,,,98.00134228187916,,105.9342946708464,,,100.7658142076503,103.76327868852457,104.66054644808742,"Wandy Peralta",14295,593974
"Justin Bruihl","STL",56,116.58555555555556,103.92705336426917,84.39666666666666,,100.23900552486191,,88.98774193548384,,,101.49731937172773,103.0184293193717,104.41591623036649,"Justin Bruihl",23779,677865
"Garrett Cleavinger","TBR",35.2,106.35590909090907,97.56421686746987,,,115.34890756302516,,,,,109.22183306055645,93.54075286415717,104.26880523731595,"Garrett Cleavinger",17897,664076
"Tyler Alexander","TEX",45.2,109.90084745762708,104.45958333333333,93.22277108433735,,107.97966666666669,,87.89096045197738,,,99.30529085872575,106.67861495844876,103.75409972299165,"Tyler Alexander",17735,641302
"Bryan King","HOU",48.1,96.96732758620692,99.34294736842105,,,103.56430493273542,,84.49555555555555,,,98.99475285171101,105.93883396704686,102.52022813688211,"Bryan King",25890,687911
"Hoby Milner","CHC",35.2,114.25846153846153,109.46669456066942,,,107.59625,,85.42786516853933,,,105.46299823633156,99.73128747795415,102.38370370370374,"Hoby Milner",13346,571948
"Cade Gibson","MIA",31,79.87599999999999,97.01718518518518,,,111.71130081300812,108.99937984496128,93.367027027027,,,105.51618538324419,97.33985739750443,101.5161497326203,"Cade Gibson",31815,806188
"Sean Newcomb","CHW",59,99.46707602339181,104.50822429906543,93.7546666666667,,,115.69271604938271,82.52137931034483,,,105.64608695652174,97.04797826086956,101.28330434782602,"Sean Newcomb",16943,656794
"Brent Suter","- - -",59.2,98.34968503937009,94.78876971608834,,,101.05329197080293,,105.28697674418602,,,99.64171027865673,106.74604287026642,100.88207112381342,"Brent Suter",13942,608718
"Brooks Raley","- - -",43.1,,93.93166666666667,96.63790575916231,,134.44935972138506,,92.98481927710843,,,109.8295350996215,91.21805898735991,99.65215368135405,"Brooks Raley",10061,548384
"Erik Sabrowski","CLE",31.2,112.34407310704962,,,,103.43617647058822,106.67478260869564,,,,110.11695035460995,91.6641134751773,99.48765957446815,"Erik Sabrowski",24978,681870
"Brent Headrick","NYY",59.1,101.17655480984337,107.74106382978725,,106.78842105263158,105.92293159609119,,,,,103.87184381778744,96.93067245119305,99.0353579175705,"Brent Headrick",27702,687396
"Gregory Soto","PIT",48.2,111.08129032258066,104.53159609120523,,90.36,120.25795275590549,,,,,112.83442193087012,90.64524433849832,98.56495828367102,"Gregory Soto",19677,642397
"Ian Seymour","TBR",49.2,105.9794680851064,92.89575757575756,91.84727272727274,,123.47617224880383,119.66000000000001,93.1841568627451,,,104.24350877192981,95.65751879699252,98.2489724310777,"Ian Seymour",27932,693855
"Matt Strahm","KCR",35.2,112.0908943089431,102.92717391304348,76.29086956521738,,105.48181818181818,,88.78333333333333,,,103.81532591414944,94.99399046104928,98.20378378378379,"Matt Strahm",13799,621381
"Hogan Harris","ATH",51,103.85224137931036,,87.95384615384616,,114.822962962963,102.75315589353613,104.26083333333332,,,104.3001017293998,95.86111902339779,98.11906408952191,"Hogan Harris",21520,663687
"Tyler Holton","DET",50.1,90.28268041237118,108.70689189189191,97.67110204081634,,115.12208,128.35944444444442,84.27567164179105,,,100.73399229781775,96.4182284980744,97.15275994865212,"Tyler Holton",26231,663947
"Taylor Rogers","MIN",40.2,,100.33687272727275,92.34903225806451,,113.37532967032969,,,,,105.8756927297668,96.14836762688616,97.12521262002737,"Taylor Rogers",13449,573124
"Bryan Hudson","CHW",41.2,109.85762931034483,95.66761904761904,94.00727272727272,,106.28494736842102,,,,,107.84694167852071,91.34036984352771,96.9532290184922,"Bryan Hudson",19924,663542
"Brock Burke","CIN",56,100.37005494505496,109.9104347826087,,,106.61501945525289,,112.23499999999999,,,105.39583238958093,90.91442808607023,96.46190260475657,"Brock Burke",17968,656271
"Mitchell Parker","WSN",39.2,86.8854867256637,,,146.26,98.3575,102.65242718446602,,,,95.40479514415782,101.72610015174507,96.27890743550836,"Mitchell Parker",27636,680730
"Sam Moll","CIN",46.1,121.75106382978727,99.9354740061162,,,103.345047318612,,93.84641791044774,,,102.59921478060049,92.17087759815237,96.23157043879908,"Sam Moll",14874,594580
"Ryan Yarbrough","NYY",41.1,93.82400000000001,95.85978260869565,87.78,,125.54043478260867,,97.08028169014084,,,99.5699853157122,99.23242290748902,96.01779735682814,"Ryan Yarbrough",16502,642232
"José Suarez","- - -",53.1,92.26150724637681,94.67662337662337,83.34,,94.18754044461048,,101.82199095022627,,,95.27066174756987,99.17617179516485,95.42505532178522,"Jose Suarez",19911,660761
"Sean Manaea","NYM",43,95.81550173010379,95.13111111111111,95.49,,120.18775,,84.5845,,,102.66627604166668,96.13632812499998,94.75200520833334,"Sean Manaea",15873,640455
"David Peterson","NYM",30.2,82.50631578947369,103.99511111111111,,,85.56925373134328,89.00983050847458,88.82043478260869,,,90.67348360655738,99.56065573770495,94.59331967213116,"David Peterson",20302,656849
"DL Hall","MIL",31.2,93.2118918918919,105.29588516746409,84.07333333333334,,114.57434343434343,98.59731707317071,90.78694736842107,,,101.8704424778762,91.56527433628318,94.45805309734514,"DL Hall",22207,669084
"Brennan Bernardino","COL",46.1,98.49350000000001,90.66128571428568,83.25704545454545,,118.80199999999998,96.29196652719664,76.10431372549019,,,91.47793493635083,105.55649222065061,94.33278642149929,"Brennan Bernardino",16835,657514
"John King","MIA",45.1,74.42,95.8270050761421,,,100.61972477064216,85.84405405405404,85.43629032258062,,,93.93919484702097,98.2238647342995,92.98135265700483,"John King",22051,667463
"Yuki Matsui","SDP",45,96.23503597122304,92.72200000000001,,115.16734042553189,102.61217391304349,,,,,103.11856756756755,88.54810810810814,91.93467567567569,"Yuki Matsui",33826,673513
"Anthony Banda","MIN",34.1,99.0986075949367,101.48432098765431,,,109.40522088353418,,89.85384615384616,,,103.38733224222582,88.6755155482815,91.8330278232406,"Anthony Banda",14706,607455
"Evan Sisk","PIT",39,97.0285,98.25893719806766,,,129.95516666666666,109.04656084656087,91.24451612903229,,,105.81201149425286,85.52293103448277,90.81701149425287,"Evan Sisk",24995,681895
"Jovani Morán","BOS",44,94.52987755102038,99.23363636363636,94.9532584269663,,115.95354838709677,81.32,103.64370370370372,,,99.25533026113676,90.05815668202763,90.81247311827953,"Jovani Moran",20422,663558
"Kody Funderburk","MIN",36,,106.28803827751196,95.59113402061855,,107.75025641025641,,89.90125000000002,,,102.27601362862008,85.11475298126068,88.98143100511076,"Kody Funderburk",24993,681892
"Tim Herrin","CLE",37.2,83.7017142857143,108.15545454545453,,,100.32399999999998,106.52715789473687,92.225,,,100.24349157733535,87.21895865237366,88.10284839203678,"Tim Herrin",25139,682120
