Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Zach Agnos","COL",-0.2934738557669334,-0.862631949596107,0.5691580803249963,-1.1039999127388,-0.06032785028219223,0.30130073109668865,0.2724422746704835,0.3540799980983138,0.4944000020623207,9,-0.010292720049619675,-0.9637303256254883,1,2,"Zach Agnos",31552,688642
"Mason Miller","SDP",1.461041959002614,-3.0980728049762547,4.559114729985595,8.324999824166298,0.8698837673291564,1.9670958081964685,2.0566275731242936,2.0595769097025576,2.498440074920654,5,0.56505436450243,0.17768625489941303,16,2,"Mason Miller",31757,695243
"Trent Harris","SFG",0.4580400006379932,-1.175327984674368,1.633368011098355,4.081999719142914,0.4216995872557163,0.9762750065631487,0.9199280042946338,1.0167700098827481,0.8646142961723464,14,0.40030561946332455,0.06886546200322291,4,2,"Trent Harris",33214,805345
"Khristian Curtis","PIT",0.008596109226346016,-1.1030800610315055,1.1116761658340693,-1.045000433921814,-0.1132936179637909,0.6652214998199094,0.698850423745487,0.9100999807318052,0.8965200133621692,5,0.01894640550017357,-0.006024229610378698,2,2,"Khristian Curtis",33865,694753
"Hagen Smith","CHW",1.0744840712286532,-1.1778238592669368,2.252307914197445,11.73999997973442,1.2035907013341784,1.1370446621214303,1.1095770268604672,1.231249986216426,1.160866663356622,15,0.8358171489089727,0.1091625049455599,8,2,"Hagen Smith",35205,696146
"Adrian Houser","SFG",0.20880602300167084,-1.1952340379357338,1.4040400311350822,4.185000002384186,0.4248464945703745,0.7944531678519351,0.7746979131673773,0.818000003695488,2.36706672112147,3,0.08431247249245644,0.17851739772663583,3,1,"Adrian Houser",12718,605288
"Josh Hader","HOU",2.2282260209321976,-1.7379139494150877,3.9661399833858013,10.709999948740005,1.0921553038060665,1.96333747596613,1.8296645043357727,1.7693785546081406,2.648400068283081,4,1.4068397744558752,-0.2719222942933168,18,1,"Josh Hader",14212,623352
"José Urquidy","- - -",0.36033005942590535,-0.757775996811688,1.1181060555391014,5.125000089406967,0.5382819899823517,0.5137723416803365,0.6584483990073204,0.7018666453659534,0.5475000091828406,4,0.3734936770051718,0.32784820186556507,2,1,"Jose Urquidy",18413,664353
"Tommy Nance","MIN",0.6306185555877164,-1.5496531182109266,2.180271716119023,-1.850000023841858,-0.1824961081147194,0.9757915297167975,0.8981367924154319,1.019095653830015,1.0888571465121848,14,-0.3661616400349885,1.0124252489953367,5,1,"Tommy Nance",19178,667297
"Calvin Faucher","MIA",0.5663640566635877,-1.5469656260684133,2.1133296811021864,7.717000037431717,0.7762237666174769,1.0623252354238344,0.9879720642441704,1.1387214535581214,1.1732454623349688,22,0.8169066440314054,-0.2837704275716447,11,1,"Calvin Faucher",20116,676534
"DL Hall","MIL",1.2206819573184475,-0.941193574864883,2.161875547550153,9.960999988019466,1.034421755000949,0.8601893879209472,0.8177083373302594,0.8312727301804856,0.8578285629461918,14,0.9204847908704323,0.4986003251047837,5,1,"DL Hall",22207,669084
"Josh Walker","BAL",0.968664079613518,-1.1382499799365178,2.1069140674517257,8.898000046610832,0.8947051512077451,1.1289546363170921,0.9774176539880607,1.411576023027301,1.1914956453053847,23,0.6499747661873698,0.2080438365560685,8,1,"Josh Walker",23617,677020
"Anthony Nunez","BAL",0.4958780153829139,-0.5323659651039634,1.0282439809525385,7.753999948501587,0.7966605611145496,0.6209849420764674,0.6259935885811081,0.6605176431510378,0.8146285723362651,14,0.576452678302303,0.2220820071359343,5,1,"Anthony Nunez",25796,689296
"Cade Smith","CLE",2.195888059308345,-1.9318720065057278,4.127760071402008,12.110000275075436,1.2483424488455057,1.930031841538385,1.6254739411524497,1.7087439738214016,2.6547000408172607,2,0.8750578202307224,0.26268924282190165,13,1,"Cade Smith",27867,671922
"Mason Montgomery","PIT",3.0145279869175283,-1.7594082541763783,4.773936237368616,13.236000210046768,1.3396235667169094,2.082827506877414,1.8786483709850619,1.982249978929758,1.8768857195973396,7,1.2417590990662575,0.20556574034731678,18,1,"Mason Montgomery",29770,682254
"Ty Madden","DET",0.007606124912854284,-0.8966978504322469,0.9043039662647061,1.8380000591278076,0.19735792838037014,0.4879104878842121,0.5258757150731981,0.7391666827412943,0.6342285919402327,7,0.17747570108622313,-0.1618865200750961,2,1,"Ty Madden",30140,680744
"Spencer Miles","TOR",0.9203559467568994,-1.1400580694898963,2.0604140125215054,8.202999725937843,0.8376827016472816,1.1270565391396699,1.012148145172331,1.032599990858751,1.3590143002303583,14,0.724621725268662,0.09197967385852479,10,1,"Spencer Miles",31621,693686
"Tyler Schweitzer","CHW",-0.018839926458895206,-0.6658600196242332,0.647020099859219,2.9399997740983963,0.29634142853319645,0.31586261895363743,0.36505860686302183,0.4525500039259593,0.3063500076532364,8,0.1290747867897153,-0.18872073831543396,2,1,"Tyler Schweitzer",31920,805326
"Yuki Matsui","SDP",1.4956818857463077,-0.8913720091804862,2.387053868966177,16.04699993133545,1.6281099002808332,0.9543322204681467,0.8912421552026096,1.0622666736857758,1.1350857101026035,21,0.9520995143102482,0.6151554244495503,9,1,"Yuki Matsui",33826,673513
"Brent Suter","- - -",0.7547159645473585,-0.4108719960786402,1.1655879631871358,8.618999816477299,0.8861643644049764,0.3661050369306434,0.4392334317478041,0.7351411780452027,0.6921555308832062,9,0.5478693582117558,1.5136045042479278,4,0,"Brent Suter",13942,608718
"Emilio Pagán","CIN",2.790181838092394,-1.1425649545853958,3.932746766600758,9.637000054121017,0.9870475754141808,1.837913728118235,1.7180538623092265,1.7261923240640988,,0,1.0564741007983685,0.4616503875306608,17,0,"Emilio Pagan",14771,641941
"Aaron Civale","CHC",0.5683941226452589,-0.8737300047650933,1.4421241274103522,8.197000220417976,0.868453242816031,0.5452500015574818,0.5651974939042702,0.8657058786381694,1.0686545299196786,11,1.0838765625376254,-0.04142975644561808,3,0,"Aaron Civale",19479,650644
"Bryse Wilson","MIL",0.16245395402074791,-0.16907002869993448,0.33152397701633163,1.4159999787807465,0.13288668915629387,0.18248764159722944,0.20356212454763326,0.2555200044065714,0.23269999772310257,4,0.16254224881413393,0.7276766865552096,1,0,"Bryse Wilson",19990,669060
