Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Wandy Peralta","SDP",5.884616524554437,1.384615652836338,4.25,1.384615652836338,0.15178571,0.03571429,0.11607143,0.308411214953271,1.4230771987484585,0.3372093023255814,0.61728395,155.48831935502915,104.25725799475262,91.99256134107972,6.230770437763521,4.365292912377809,1.865477525385712,3.873037650847553,3.9822083552783387,"Wandy Peralta",14295,593974
"Jordan Romano","COL",8.550000445917272,3.600000187754641,2.375,0.9000000469386602,0.23170732,0.09756098,0.13414634,0.16216216216216217,1.0000000521540668,0.18867924528301888,0.63953488,76.28803661055402,84.25606389004699,101.68851792974979,3.600000187754641,3.6960619285702725,-0.09606174081563168,4.28074300134754,3.967370132383923,"Jordan Romano",16122,605447
"Enyel De Los Santos","HOU",8.783134671488598,3.253012841292074,2.7,1.9518077047752442,0.22131148,0.08196721,0.13934426,0.26126126126126126,1.409638897893232,0.2948717948717949,0.63291139,134.86885642393466,125.9920110043424,111.85287513156193,5.530121830196525,5.156303363429479,0.37381846676704633,4.6258917770308505,3.9416296989169477,"Enyel De Los Santos",18403,660853
"Randy Vásquez","SDP",6.639345008354378,1.7704920022278343,3.75,0.4426230005569586,0.16853933,0.04494382,0.12359551,0.3058823529411765,1.4754100018565286,0.36231884057971014,0.73426573,99.41055674692198,68.03082790845964,98.31172308382453,3.983607005012627,2.850160230301744,1.1334467747108827,4.1387521298296885,3.9369473668100445,"Randy Vasquez",24719,681190
"Josh Walker","BAL",7.605636612193777,3.0422546448775107,2.5,0.38028183060968884,0.20833333,0.08333333,0.125,0.20689655172413793,1.0985919550946566,0.25757575757575757,0.9375,18.750237177763367,75.17312475290593,100.10326028857848,0.7605636612193777,3.096061897277832,-2.3354982360584544,4.13945471278617,3.9266594194701403,"Josh Walker",23617,677020
"Julian Garcia","CIN",7.57009463025382,3.0280378521015283,2.5,1.2616824383756367,0.21582734,0.08633094,0.1294964,0.20634920634920634,1.0654207257394266,0.23076923076923078,0.8125,70.91375594672037,99.1484093300336,100.73096932616556,3.0280378521015283,4.32970694813401,-1.301669096032482,4.240479033014465,3.9167294842421234,"Julian Garcia",22362,670062
"Hunter Gaddis","CLE",8.783134690410854,3.90361541796038,2.25,0.975903854490095,0.23893805,0.10619469,0.13274336,0.1919191919191919,1.1204822033034425,0.2318840579710145,0.83333333,70.83082605643705,99.99610247941494,102.59792510013787,2.927711563470285,4.0719657517679275,-1.1442541882976425,4.242734475010388,3.883014322340561,"Hunter Gaddis",25636,683769
"Taylor Clarke","ARI",6.428572564405038,1.6071431411012596,4,0.6428572564405038,0.18018018,0.04504505,0.13513514,0.2358490566037736,1.071428760734173,0.27380952380952384,0.69852941,68.650821791208,76.14027671642815,94.5408317782548,2.8928576539822672,3.131776189302305,-0.2389185353200376,3.980189893357719,3.865803820701108,"Taylor Clarke",17611,664199
"Yuki Matsui","SDP",9.40449590621906,4.550562535267287,2.06666667,0.6067416713689716,0.27192982,0.13157895,0.14035088,0.13131313131313133,0.943820377685067,0.16666666666666666,0.99206349,22.711776265749986,81.16379121348952,97.35533591007038,0.9101125070534575,3.399432732962318,-2.4893202259088607,4.098536998468152,3.8619995117456134,"Yuki Matsui",33826,673513
"Eduard Bazardo","SEA",10.12500257743588,4.12500105006647,2.45454545,3.3750008591452936,0.23076923,0.09401709,0.13675214,0.3047619047619048,1.7916671227561436,0.3333333333333333,0.79617834,164.84382716045894,181.48806704142177,108.37807346678551,6.375001622829999,7.221062947344302,-0.8460613245143032,4.482034098014609,3.860688199941208,"Eduard Bazardo",20997,660825
