Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Brennan Bernardino","COL",6.798563016867608,2.3309358914974654,2.91666667,0.3884893152495776,0.18421053,0.06315789,0.12105263,0.21714285714285714,1.0791369868043823,0.2608695652173913,0.73705179,44.8029780183528,70.07271483530869,96.29772556249027,2.1366912338726767,3.1085909298911165,-0.9718996960184398,4.057827575761811,3.8835720118458172,"Brennan Bernardino",16835,657514
"José Suarez","- - -",8.606251744106766,3.5437507181616095,2.42857143,1.0125002051890313,0.22077922,0.09090909,0.12987013,0.26570048309178745,1.4250002887845625,0.32666666666666666,0.7082153,103.61158204302303,95.23020952480073,99.08767280548946,4.387500889152468,3.98700837254528,0.40049251660718843,4.121907316142741,3.8681312024758183,"Jose Suarez",19911,660761
"Tim Hill","NYY",4.12213872497576,2.06106936248788,2,1.854962426239092,0.11049724,0.05524862,0.05524862,0.2469879518072289,1.1679393054097986,0.23357664233576642,0.73732719,110.47350127125041,139.29850802592802,105.02714963879683,4.534352597473336,5.880902214860822,-1.3465496173874865,4.35122155555387,3.836698053878763,"Tim Hill",16814,657612
"Daniel Lynch IV","KCR",6.847827222712512,2.3478264763585757,2.91666667,0.3913044127264293,0.19125683,0.06557377,0.12568306,0.1834319526627219,0.9347827637353588,0.2196969696969697,0.75829384,45.75580687253757,73.73292159361215,99.74168928415276,1.9565220636321463,3.0435299220743146,-1.0870078584421683,4.131934777810008,3.8212072350028405,"Daniel Lynch IV",21537,663738
"Alex Vesia","LAD",12.252105160662122,6.126052580331061,2,0.45378167261711566,0.32142857,0.16071429,0.16071429,0.14893617021276595,1.2100844603123084,0.2235294117647059,0.77433628,70.7096895598296,70.55626437670675,98.0657936444019,2.9495808720112517,3.0617980972318564,-0.11221722522060462,4.13221747184117,3.8162821017727424,"Alex Vesia",25007,681911
"Ian Seymour","TBR",9.422819998161264,3.805369614642049,2.47619048,0.7248323075508665,0.25615764,0.10344828,0.15270936,0.18888888888888888,1.1073826920916017,0.24193548387096775,0.6614786,90.87074159263985,81.40430302853326,105.55968460658143,3.805369614642049,3.429290113165161,0.37607950147688785,4.37331572886818,3.8037945867829417,"Ian Seymour",27932,693855
"Ryan Rolison","CHC",9.28125304263185,4.218751383014476,2.2,0.6328127074521716,0.25730994,0.11695906,0.14035088,0.2251655629139073,1.265625414904343,0.2980769230769231,0.82329317,56.35597596030829,80.68593192788929,89.82979178807628,2.3203132606579624,3.34482077467258,-1.0245075140146178,3.785694999958162,3.7830628059844282,"Ryan Rolison",22200,669020
"Sean Newcomb","CHW",8.237289733361015,3.355932854332265,2.45454545,0.30508480493929685,0.22040816,0.08979592,0.13061225,0.22580645161290322,1.2033900639272264,0.2919254658385093,0.74123989,69.64056888698782,73.29653196127511,95.82637040252375,2.89830564692332,3.1209065018149516,-0.22260085489163162,3.9694933623450828,3.769532885452053,"Sean Newcomb",16943,656794
"Bryan Hudson","CHW",8.856001351318566,3.4560005273438303,2.5625,0.2160000329589894,0.22651934,0.08839779,0.13812155,0.2546583850931677,1.3680002087402663,0.33613445378151263,0.75503356,72.6607673941373,67.43917267047466,97.03137326679385,3.0240004614258518,2.87100815719604,0.1529923042298118,4.019487341591515,3.7595811768436493,"Bryan Hudson",19924,663542
"Kyle Hart","SDP",7.8849570831293905,2.86725712113796,2.75,0.9557523737126534,0.21290323,0.07741935,0.13548387,0.21428571428571427,1.1150444359980956,0.2524271844660194,0.55837563,124.35130882177236,93.59474900631952,96.45112331518871,5.01769996199143,3.9100171786298143,1.1076827833616156,4.064281650126248,3.736122974772687,"Kyle Hart",19646,606996
"Sean Manaea","NYM",9.418605486723921,3.558139850540148,2.64705882,1.0465117207471024,0.234375,0.08854167,0.14583333,0.2631578947368421,1.4418605930293409,0.3305785123966942,0.69491525,123.92183675591534,94.80937488948776,99.50361520380754,5.023256259586091,3.970729198785916,1.052527060800175,4.1927125384503725,3.732782281287042,"Sean Manaea",15873,640455
