Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Brandyn Garcia","ARI",1.0822244882583618,-1.7646903991699219,2.846914768218994,10.986000061035156,1.1734187602996826,1.1063040494918823,0.9912745952606201,1.3291436433792114,1.1145931482315063,29,0.9374569654464722,0.040777262978724305,12,4,"Brandyn Garcia",33568,805299
"Garrett Cleavinger","TBR",1.042768120765686,-3.097491979598999,4.140260219573975,7.7729997634887695,0.748053789138794,1.4927135705947876,1.1970674991607666,1.541614294052124,1.5926789045333862,38,0.24785488843917847,0.45071725648356376,15,8,"Garrett Cleavinger",17897,664076
"Dylan Dodd","ATL",0.9886282682418823,-1.372022032737732,2.3606503009796143,11.14900016784668,1.1298682689666748,0.8913739323616028,1.0225363969802856,1.308806300163269,1.318921446800232,28,0.7839321494102478,0.32517395337044963,14,5,"Dylan Dodd",29928,689266
"Hogan Harris","ATH",0.742533266544342,-4.9743266105651855,5.716859817504883,2.3809995651245117,0.2867390513420105,1.4028542041778564,1.1611357927322388,1.4711629152297974,1.566713571548462,37,-0.1221456378698349,0.6514474458075344,17,8,"Hogan Harris",21520,663687
"Kody Funderburk","MIN",0.6814302802085876,-2.081738233566284,2.7631683349609375,7.520999908447266,0.7770631909370422,1.0218349695205688,0.8968083262443542,1.047789216041565,1.129372239112854,36,0.5338749885559082,0.13299422274961747,9,2,"Kody Funderburk",24993,681892
"Gabe Speier","SEA",0.5938238501548767,-2.6969618797302246,3.290785789489746,6.505999565124512,0.7101393938064575,1.3851861953735352,1.2244747877120972,1.3880054950714111,1.3582515716552734,31,0.1889352947473526,0.2397607550243127,11,7,"Gabe Speier",17170,642100
"JoJo Romero","STL",0.5673701763153076,-5.159388065338135,5.726758003234863,4.627999782562256,0.5092936158180237,1.730046272277832,1.4807300567626953,1.6924272775650024,1.6506949663162231,40,0.13991132378578186,0.1880395440070724,19,11,"JoJo Romero",19574,668941
"Brooks Raley","- - -",0.5653920471668243,-4.1678749322891235,4.733266860246658,7.45099949836731,0.7481405436992645,1.5143729834943205,1.3418238747794673,1.561451052097564,1.4854047298431396,42,0.6297289133071899,-0.25637832310964315,20,10,"Brooks Raley",10061,548384
"Jovani Morán","BOS",0.4727639853954315,-1.3186019659042358,1.7913659811019897,12.057999610900879,1.1921827793121338,0.5505611300468445,0.5870413184165955,0.66999351978302,0.9079833030700684,24,1.063786268234253,-0.20509145744147794,8,2,"Jovani Moran",20422,663558
"Erik Miller","- - -",0.458526074886322,-2.6847399920225143,3.143265888094902,3.2519997358322144,0.28106892108917236,1.1636727578712232,1.0155708715319633,1.1328550040721894,1.3281310282904526,29,0.4194893017411232,-0.025455780044584153,12,6,"Erik Miller",26252,669062
"Bryan Hudson","CHW",0.43962159752845764,-4.171115398406982,4.610736846923828,2.560999631881714,0.26287195086479187,1.463797926902771,1.3404120206832886,1.6412091255187988,1.2949657440185547,35,0.38563746213912964,-0.08530803179306634,15,9,"Bryan Hudson",19924,663542
"Cionel Pérez","- - -",0.43568819761276245,-2.2280076444149017,2.6636959314346313,-2.159000426530838,-0.20461740344762802,0.8040435790349652,0.7797823190689087,0.8656823652632096,1.2106740827913638,27,0.12962893396615982,0.41224243839861574,10,3,"Cionel Perez",19614,672335
"Taylor Rogers","MIN",0.4335295557975769,-3.8938472270965576,4.327376842498779,-1.1039998531341553,-0.08865297585725784,1.2457566261291504,1.0978580713272095,1.4186807870864868,1.2337610721588135,36,-0.5238978266716003,0.8719028436263582,16,9,"Taylor Rogers",13449,573124
"Cade Gibson","MIA",0.4158240854740143,-1.4797019958496094,1.8955260515213013,-1.8879998922348022,-0.12220090627670288,0.7011033296585083,0.7579891085624695,0.8197629451751709,1.0544700622558594,20,-0.04028698056936264,0.6333865536045569,6,3,"Cade Gibson",31815,806188
"Yuki Matsui","SDP",0.388694167137146,-2.199798822402954,2.5884928703308105,13.824999809265137,1.416247010231018,0.7832081913948059,0.7391367554664612,0.9495394229888916,0.7788714170455933,28,0.09255947917699814,0.4037251248500937,7,4,"Yuki Matsui",33826,673513
"Tyler Alexander","TEX",0.37619203329086304,-3.186105966567993,3.562298059463501,6.299999713897705,0.6572799682617188,1.0568088293075562,0.9464834928512573,1.1646791696548462,1.3739081621170044,37,0.4233633279800415,-0.06739352260156817,10,8,"Tyler Alexander",17735,641302
