Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Brock Burke","CIN",4,4,2.732143415480358,58,0,0,0,0,2,13,0,56,236,40,24,17,5,31,4,3,1,0,51,"Brock Burke",17968,656271
"José Suarez","- - -",1,2,4.387500889152468,39,0,0,0,0,1,3,1,53.1,231,55,29,26,6,21,1,3,3,2,51,"Jose Suarez",19911,660761
"Jack Dreyer","LAD",4,1,2.934783338824564,47,0,0,0,0,1,7,2,46,181,33,15,15,6,13,2,1,3,0,51,"Jack Dreyer",30249,676263
"Aroldis Chapman","BOS",2,3,1.8620690879867217,40,0,0,0,0,27,0,2,38.2,162,29,10,8,2,17,0,1,1,0,50,"Aroldis Chapman",10233,547973
"Mason Fluharty","TOR",5,1,4.251970164249815,58,0,0,0,0,1,11,0,42.1,181,39,20,20,6,18,0,1,0,0,50,"Mason Fluharty",31553,689254
"Erik Miller","- - -",2,0,2.571429061889742,40,0,0,0,0,4,10,1,35,152,24,10,10,2,23,2,3,2,0,49,"Erik Miller",26252,669062
"Mitch Farris","LAA",1,3,4.183099041049478,26,0,0,0,0,1,1,1,47.1,204,49,24,22,9,23,1,1,6,0,49,"Mitch Farris",33628,815083
"Sam Moll","CIN",1,7,4.273382467745353,54,0,0,0,0,1,6,4,46.1,208,40,28,22,5,26,2,5,1,0,48,"Sam Moll",14874,594580
"Garrett Cleavinger","TBR",4,3,3.2803744165250146,42,0,0,0,0,2,21,3,35.2,150,28,14,13,5,16,1,2,1,0,48,"Garrett Cleavinger",17897,664076
"Jovani Morán","BOS",2,0,1.840909410114186,31,0,0,0,0,0,2,0,44,172,20,9,9,4,20,1,1,2,1,47,"Jovani Moran",20422,663558
"Evan Sisk","PIT",1,0,2.3076927591358594,34,0,0,0,0,0,5,2,39,163,31,10,10,2,14,0,7,1,0,47,"Evan Sisk",24995,681895
"Yuki Matsui","SDP",2,1,2.4000004069011105,33,0,0,0,0,0,6,0,45,184,27,13,12,6,26,2,2,3,0,47,"Yuki Matsui",33826,673513
"Tim Mayza","PHI",3,2,3.829787855722607,42,0,0,0,0,0,1,0,47,187,40,22,20,5,12,2,1,2,1,45,"Tim Mayza",15042,641835
"Sean Manaea","NYM",1,1,5.023256259586091,14,0,0,0,0,0,0,0,43,192,45,25,24,5,17,0,4,1,0,45,"Sean Manaea",15873,640455
"Caleb Thielbar","CHC",3,2,5.299066931912982,42,0,0,0,0,3,7,4,35.2,154,35,22,21,10,13,2,0,1,0,44,"Caleb Thielbar",10078,573204
"Ryan Rolison","CHC",6,1,2.3203132606579624,39,0,0,0,0,1,4,2,42.2,171,34,13,11,3,20,0,0,4,0,44,"Ryan Rolison",22200,669020
"Brooks Raley","- - -",5,5,2.284615853890961,47,0,0,0,0,0,14,2,43.1,179,33,14,11,3,16,1,3,1,0,43,"Brooks Raley",10061,548384
"JoJo Romero","STL",1,3,3.348838100567689,44,0,0,0,0,0,21,2,43,186,40,17,16,5,16,2,4,0,0,43,"JoJo Romero",19574,668941
"Bryan Hudson","CHW",3,4,3.0240004614258518,44,0,0,0,0,4,7,3,41.2,181,41,16,14,1,16,2,4,0,2,41,"Bryan Hudson",19924,663542
"Tyler Alexander","TEX",3,2,3.3503657098178636,48,0,0,0,0,4,11,2,45.2,195,49,19,17,2,11,0,2,0,0,40,"Tyler Alexander",17735,641302
"Grant Wolfram","BAL",4,2,5.242720970797219,43,0,0,0,0,1,12,0,34.1,153,34,23,20,2,13,1,4,1,0,39,"Grant Wolfram",21623,664991
"Justin Bruihl","STL",0,0,3.5357152491202353,51,0,0,0,0,0,7,1,56,250,56,27,22,3,21,1,8,2,0,39,"Justin Bruihl",23779,677865
