Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Drew Rasmussen","TBR",124.1,109.13551117782848,46.506193023750185,234.66877251795802,74.3814576605767,119.24440201655975,50.81392087234998,83.17245682446098,70.00097581905635,87.38447457705453,107.00036665119829,65.6849347737547,69.48240781793014,74.94278225377555,100.07794044533391,107.73230255687176,91.89975077687768,"Drew Rasmussen",25385,656876
"Jacob Misiorowski","MIL",127,164.9196018602449,60.0067534319284,274.83505480065935,66.32368392631837,186.3754076944269,67.81354986749491,59.8550780935875,55.912269311549814,78.1605931317791,113.14271921840667,39.17103670439338,48.249728014515405,46.056518797525875,93.72076238041923,110.38709937938758,91.79699520460962,"Jacob Misiorowski",31623,694819
"Braxton Ashcraft","PIT",132.1,117.69016023964411,63.54576269967701,185.20535343633,109.94210359423764,121.83458577814834,65.78351185118414,98.6553650949595,88.27751253351512,103.49754100160547,98.27746182732338,95.51139605620999,86.87211020195151,76.85334637542353,104.95660386824986,105.50271437547025,91.50345810491913,"Braxton Ashcraft",23793,677952
"Dylan Cease","TOR",126.1,152.02330826681333,108.18351155006947,140.5235489709177,42.702283602900316,162.09246643814183,115.34897434756427,74.2560444811305,80.47652282893914,98.20663666973114,108.35047431045443,55.249255119338144,52.43330222366761,63.39980142115584,103.00831298334884,106.92185607239178,91.29577335019661,"Dylan Cease",18525,656302
"Chris Sale","ATL",123,131.86004606520393,59.82170316903207,220.42174080347513,49.8040375972945,140.23138732589933,63.619580141531486,88.8391777241583,78.21558995746307,105.4654086855338,111.68451020163874,52.106523048081556,58.12098558888501,68.05689700339232,100.78567131733655,108.11416767809266,90.74015654499573,"Chris Sale",10603,519242
"Anthony Kay","CHW",116,84.58243076569623,97.42852736759569,86.81485180133106,99.6561882202552,80.57436297946569,92.81172949936682,103.7340621391617,103.5809339797124,98.68876601279261,108.25408721580374,95.07642144196326,112.71194449315783,114.58448356938271,103.49420118206032,108.53490135686592,89.37375707806204,"Anthony Kay",20387,641743
"Davis Martin","CHW",122,91.5449182100422,79.7108722881934,114.84621420902334,63.17004228694021,92.7903470349944,80.79530575373917,109.54349845497262,101.01209115480589,111.85451569944821,100.4247174222066,99.26332828822962,81.72387955097504,95.02412704703289,118.95847783964571,103.99700461175692,86.45852005843396,"Davis Martin",21448,663436
"Kyle Bradish","BAL",127,99.44705884293494,111.75467687478576,88.98693336836273,78.88794257250959,100.61621460890116,113.06853047003641,101.36416113794486,103.09993949560408,104.3269531076146,101.93960938925599,90.06821639538116,93.73643566450339,95.72848947447031,96.83821649693026,115.15779889665674,85.7598252463555,"Kyle Bradish",24586,680694
"Nathan Eovaldi","TEX",132.2,107.78765587056922,63.396285511839665,170.02203855288627,139.41850004394672,109.81558237228927,64.58902996301602,103.61308532250766,92.89051242528197,102.07578488658609,105.840872803049,102.76155209529709,101.98271424687655,80.85797870550574,91.18717971011152,118.7651166227961,84.79303660883,"Nathan Eovaldi",9132,543135
"Landen Roupp","SFG",123.2,106.83015358229717,121.12340283298056,88.19942780894367,55.72749739284083,108.10103180936078,122.56432420200336,92.3590796261071,98.78596085337634,99.4388139035033,92.97377232771461,103.15621069290579,86.77979838466425,92.40097465681356,89.67437697215956,119.05131515362926,84.3575906055973,"Landen Roupp",30076,694738
"Nolan McLean","NYM",130.2,128.23341469483648,96.53444688573497,132.83694315433326,82.04326475054764,130.59882544122362,98.3151390991306,88.27702226020374,88.81916810542137,98.81143968329195,97.75950047993382,86.65834982576757,83.37572666585145,79.09184302018066,112.38284118439876,108.89041624370401,84.08032855597108,"Nolan McLean",33703,690997
"Ryan Weathers","NYY",121,113.86726313505173,73.85318720108667,154.18056908861044,108.27659170575402,116.74608672785445,75.72036543854146,102.18173502902346,94.20839012870103,106.6179220022322,102.29391784025997,92.4208955813377,86.48798576731505,76.80757819287084,103.54688785280477,115.07314842069304,82.53091595886805,"Ryan Weathers",23796,677960
"Jesús Luzardo","PHI",136.2,128.89102150915193,82.68214589148778,155.8873608242237,67.23545576089217,132.9298911367153,85.27303987095894,93.29066038467954,88.83056949219782,107.08795343454203,101.31117293815926,78.82312316969409,69.1813437459869,71.62069662993399,96.01747696993431,119.72264554254923,80.4453545105187,"Jesus Luzardo",19959,666200
"Cade Cavalli","WSN",128.2,117.70488417679654,79.65342323915327,147.77127402578645,89.26987367079919,117.18587479282971,79.30220209407744,105.6125529635356,99.10107083258605,113.9943504314074,102.19153687874855,85.09845036649492,85.104598205116,80.58817677319355,98.31398452176427,118.69055379109459,80.42225361948454,"Cade Cavalli",27473,676917
"Sonny Gray","BOS",119.2,92.45767636878604,70.2833513573319,131.54989844237917,77.28212579955422,97.4309392452358,74.06386731087318,98.82849670061174,88.8217062756245,99.25026053803548,114.98417687010713,64.34330921498075,84.73511515950742,86.70212403710191,103.82335173290242,117.03126404580668,80.35268071024215,"Sonny Gray",12768,543243
"Logan Webb","SFG",125,86.78661468969689,65.17147262386267,133.1665633553976,55.13306962020502,90.85449707103818,68.22620832448648,94.38563715233525,84.90488517477753,94.91886781698044,93.80817351612092,91.4983712994266,81.13858077668606,87.1617450046642,101.2684324748431,121.27078316973119,76.12235639382286,"Logan Webb",17995,657277
"José Soriano","- - -",127.2,106.28601620568867,123.52344676917733,86.04521657469456,72.43938044540806,108.91437826684589,126.57807895299973,90.33557873842025,97.13182952073065,95.41669891987237,106.47943009552301,77.24147361235472,89.98936616424713,89.86544270881627,96.78196067956753,126.04106480787836,74.4407265488944,"Jose Soriano",22100,667755
"Framber Valdez","DET",127.1,84.43167941803996,92.88510818078205,90.89904928672911,72.62901487082449,82.11819803207949,90.33999977143108,107.54898658008045,105.24957902584488,105.61273727741013,98.99062851003859,100.20706105488773,97.3771284151364,100.1837270232856,92.46182446621253,130.3162757246978,72.1195145357166,"Framber Valdez",17295,664285
"Andre Pallante","STL",124,77.95827333592221,78.41260689005328,99.42058113733555,61.752990166000245,79.86328989003115,80.32873051157927,99.41909529864473,92.97863237838976,96.78002208790161,101.33032074984787,88.46483061570812,90.22823065975928,94.3579112389244,86.71735502306028,131.7403003080996,71.97452192077411,"Andre Pallante",26108,669467
"Cristopher Sánchez","PHI",149.2,124.8721469799349,61.453813946854375,203.19673060977078,66.51168836092064,127.5176048084675,62.75573689963658,103.69624157563871,92.848356972906,116.88421985148634,112.00419281944151,62.097433634128684,62.71228849282713,61.658974269665215,88.1547317503269,138.03913535917408,64.37164937636557,"Cristopher Sanchez",20778,650911
