Name,Team,Pos,G,GS,Inn,Throwing,Blocking,Framing,Arm,Range,FRV,NameASCII,PlayerId,MLBAMID
"Pete Alonso","BAL","1B",110,109,966.1,,,,0,3,4,"Pete Alonso",19251,624413
"Elly De La Cruz","CIN","SS",94,94,826.1,,,,0,4,4,"Elly De La Cruz",26668,682829
"Austin Wells","NYY","C",82,74,654,-2,1,4,,,4,"Austin Wells",27562,669224
"Caleb Durbin","BOS","3B",108,105,931.1,,,,0,3,4,"Caleb Durbin",29646,702332
"Freddie Freeman","LAD","1B",114,114,965.2,,,,0,2,3,"Freddie Freeman",5361,518692
"Manny Machado","SDP","3B",102,102,890,,,,0,3,3,"Manny Machado",11493,592518
"Ketel Marte","ARI","2B",91,90,785.2,,,,0,2,3,"Ketel Marte",13613,606466
"Vladimir Guerrero Jr.","TOR","1B",96,95,829.2,,,,0,2,3,"Vladimir Guerrero Jr.",19611,665489
"Daulton Varsho","- - -","CF",100,93,818.2,,,,-1,4,3,"Daulton Varsho",19918,662139
"Bryson Stott","PHI","2B",107,101,900.1,,,,0,4,3,"Bryson Stott",26294,681082
"Michael Busch","CHC","1B",117,116,1031.2,,,,0,3,3,"Michael Busch",26319,683737
"Garrett Mitchell","MIL","CF",102,92,823,,,,-1,4,3,"Garrett Mitchell",27555,669003
"Daylen Lile","WSN","LF",98,95,843.2,,,,2,2,3,"Daylen Lile",29995,695734
"Jakob Marsee","MIA","CF",109,102,900.1,,,,-2,5,3,"Jakob Marsee",31370,805300
"Chandler Simpson","TBR","LF",106,100,893,,,,-3,6,3,"Chandler Simpson",31912,802415
"Nolan Schanuel","LAA","1B",95,93,811.1,,,,0,2,3,"Nolan Schanuel",33189,694384
"Nolan Arenado","ARI","3B",108,106,912.2,,,,0,1,2,"Nolan Arenado",9777,571448
"Ryan McMahon","NYY","3B",95,67,670.1,,,,0,2,2,"Ryan McMahon",15112,641857
"Jake Burger","TEX","1B",111,107,944.1,,,,0,1,2,"Jake Burger",22275,669394
"Kyle Karros","COL","3B",107,95,847.1,,,,0,1,2,"Kyle Karros",33252,691720
"J.T. Realmuto","PHI","C",86,85,734,1,0,0,,,1,"J.T. Realmuto",11739,592663
"Christian Walker","HOU","1B",112,110,948.1,,,,0,0,1,"Christian Walker",13419,572233
"Josh Naylor","SEA","1B",110,110,965.1,,,,0,0,1,"Josh Naylor",18839,647304
"Luis García Jr.","- - -","1B",97,79,694,,,,0,0,1,"Luis Garcia Jr.",20391,671277
"Ezequiel Tovar","COL","SS",108,101,883.2,,,,0,0,1,"Ezequiel Tovar",24064,678662
"Vinnie Pasquantino","KCR","1B",77,77,667,,,,0,1,1,"Vinnie Pasquantino",27676,686469
"Carson Benge","NYM","RF",90,82,750,,,,4,-2,1,"Carson Benge",35177,701807
"Rafael Devers","SFG","1B",87,87,756,,,,0,0,0,"Rafael Devers",17350,646240
"Isaac Paredes","HOU","3B",96,93,803.1,,,,0,0,0,"Isaac Paredes",20036,670623
"Xavier Edwards","MIA","2B",114,112,972,,,,0,-1,0,"Xavier Edwards",22266,669364
"Isaac Collins","KCR","LF",103,96,850,,,,2,-2,0,"Isaac Collins",25477,686555
"Gunnar Henderson","BAL","SS",108,108,948.2,,,,0,0,0,"Gunnar Henderson",26289,683002
"Jackson Chourio","MIL","LF",80,70,649.2,,,,-1,1,0,"Jackson Chourio",28806,694192
"Justin Crawford","PHI","CF",105,89,818.2,,,,0,-1,0,"Justin Crawford",31791,702222
"Willson Contreras","BOS","1B",105,104,870.1,,,,0,-1,-1,"Willson Contreras",11609,575929
"Taylor Ward","BAL","LF",90,90,793,,,,0,0,-1,"Taylor Ward",17548,621493
"Jonathan Aranda","TBR","1B",108,105,934,,,,0,-1,-1,"Jonathan Aranda",21837,666018
"Julio Rodríguez","SEA","CF",101,100,870,,,,0,-2,-1,"Julio Rodriguez",23697,677594
"JJ Bleday","CIN","LF",78,77,665,,,,-1,-1,-1,"JJ Bleday",26368,668709
"Munetaka Murakami","CHW","1B",74,73,644.1,,,,0,-1,-1,"Munetaka Murakami",37120,808959
"Mike Trout","LAA","CF",82,82,704.2,,,,1,-3,-2,"Mike Trout",10155,545361
"Teoscar Hernández","LAD","LF",79,77,655.1,,,,0,-2,-2,"Teoscar Hernandez",13066,606192
"Austin Riley","ATL","3B",115,114,1009,,,,0,-2,-2,"Austin Riley",18360,663586
"Miguel Vargas","CHW","3B",98,89,785.2,,,,0,-3,-2,"Miguel Vargas",20178,678246
"Alec Burleson","STL","1B",112,108,968.1,,,,0,-3,-2,"Alec Burleson",27615,676475
"Sal Frelick","MIL","RF",87,75,677.2,,,,-3,0,-2,"Sal Frelick",29622,686217
"Cole Young","SEA","2B",115,115,1013.1,,,,0,-3,-2,"Cole Young",31680,702284
"Travis Bazzana","CLE","2B",81,80,715.1,,,,0,-2,-2,"Travis Bazzana",34967,683953
"Nick Kurtz","ATH","1B",94,94,822,,,,0,-2,-2,"Nick Kurtz",35110,701762
"Jeff McNeil","ATH","2B",85,75,652.1,,,,0,-3,-3,"Jeff McNeil",15362,643446
"Ozzie Albies","ATL","2B",116,116,1025,,,,0,-1,-3,"Ozzie Albies",16556,645277
"Trent Grisham","NYY","CF",95,84,767.1,,,,1,-4,-3,"Trent Grisham",18564,663757
"Bryan Reynolds","PIT","LF",87,86,713.2,,,,1,-3,-3,"Bryan Reynolds",19326,668804
"Taylor Walls","TBR","SS",93,87,784.2,,,,0,-2,-3,"Taylor Walls",22458,670764
"Jung Hoo Lee","SFG","RF",99,90,794.1,,,,-1,-2,-3,"Jung Hoo Lee",33824,808982
"Kazuma Okamoto","TOR","3B",107,104,924,,,,0,-3,-3,"Kazuma Okamoto",37123,672960
"Jose Altuve","HOU","2B",89,88,738.1,,,,0,-2,-4,"Jose Altuve",5417,514888
"Bryce Harper","PHI","1B",107,106,912.2,,,,0,-4,-4,"Bryce Harper",11579,547180
"Brandon Nimmo","TEX","RF",102,101,854.1,,,,-2,-2,-4,"Brandon Nimmo",12927,607043
"Kyle Tucker","LAD","RF",109,107,934.2,,,,1,-6,-4,"Kyle Tucker",18345,663656
"Brandon Marsh","PHI","LF",102,81,746.2,,,,-4,0,-4,"Brandon Marsh",20202,669016
"Ernie Clement","TOR","2B",97,80,731.2,,,,0,-4,-4,"Ernie Clement",20352,676391
"William Contreras","MIL","C",94,89,801.1,3,-2,-5,,,-4,"William Contreras",20503,661388
"Riley Greene","DET","LF",106,104,908.2,,,,-3,-1,-4,"Riley Greene",25976,682985
"Josh Jung","TEX","3B",92,91,782,,,,0,-2,-4,"Josh Jung",26299,673962
"Zach Neto","LAA","SS",113,113,986.1,,,,1,-6,-4,"Zach Neto",31347,687263
"Marcus Semien","NYM","2B",99,96,861.2,,,,0,-4,-5,"Marcus Semien",12533,543760
"Randy Arozarena","SEA","LF",106,106,927.1,,,,-2,-3,-5,"Randy Arozarena",19290,668227
"Alec Bohm","PHI","3B",103,102,895.2,,,,0,-4,-5,"Alec Bohm",21618,664761
"Tyler Stephenson","CIN","C",87,80,712,1,3,-9,,,-6,"Tyler Stephenson",17988,663886
"Jo Adell","- - -","RF",109,102,904.1,,,,-4,-2,-6,"Jo Adell",20220,666176
"Tyler Soderstrom","ATH","LF",100,98,851.1,,,,1,-7,-6,"Tyler Soderstrom",27467,691016
"Jordan Walker","STL","RF",107,106,943,,,,0,-6,-6,"Jordan Walker",27475,691023
"Sam Antonacci","CHW","LF",88,79,684.1,,,,-2,-4,-6,"Sam Antonacci",35101,803011
"Trea Turner","PHI","SS",112,112,971.2,,,,0,-4,-7,"Trea Turner",16252,607208
"Nick Gonzales","PIT","3B",94,87,767.1,,,,0,-6,-7,"Nick Gonzales",27490,693304
"Junior Caminero","TBR","3B",115,115,1009.2,,,,0,-10,-8,"Junior Caminero",28163,691406
"Spencer Torkelson","DET","1B",113,110,977.2,,,,0,-9,-9,"Spencer Torkelson",27465,679529
"Willy Adames","SFG","SS",112,112,973,,,,0,-10,-10,"Willy Adames",15986,642715
"CJ Abrams","WSN","SS",109,108,952.2,,,,0,-13,-13,"CJ Abrams",25768,682928
