player_id,player_name,player_team,bip,ground_ball_percent,line_drive_percent,fly_ball_percent,pop_up_percent,pull_percent,straight_percent,oppo_percent,pulled_air_percent
701906,Trevor Cohen,RIC,192,0.5885,0.1771,0.1979,0.0365,0.3125,0.3906,0.2969,0.0469
804109,Aiva Arquette,PNS,166,0.4578,0.259,0.2289,0.0542,0.253,0.5241,0.2229,0.1145
686541,Drew Compton,COL,164,0.4634,0.1951,0.2805,0.061,0.4634,0.3476,0.189,0.1341
701750,Bennett Thompson,AKR,151,0.3642,0.3046,0.245,0.0861,0.351,0.4636,0.1854,0.1523
687152,Darrien Miller,BLX,119,0.2605,0.2353,0.3529,0.1513,0.4874,0.3697,0.1429,0.3025
680518,Zavier Warren,CHA,130,0.2923,0.2846,0.3385,0.0846,0.3923,0.4,0.2077,0.2077
681080,Caleb Ricketts,REA,153,0.5033,0.1765,0.2614,0.0588,0.4771,0.3791,0.1438,0.2026
678173,David McCabe,COL,135,0.4593,0.2519,0.2889,0,0.4444,0.3778,0.1704,0.1333
800231,Won-Bin Cho,SPR,140,0.4929,0.2357,0.2071,0.0643,0.4571,0.3857,0.1571,0.1643
814442,Ivan Brethowr,ALT,113,0.4513,0.1858,0.2832,0.0796,0.292,0.4602,0.2478,0.0885
696286,Davis Diaz,MID,153,0.4641,0.2614,0.1895,0.085,0.2484,0.4967,0.2549,0.085
686958,Jose Torres,HFD,124,0.4919,0.1532,0.2581,0.0968,0.4355,0.3145,0.25,0.1613
689456,Austin Murr,REA,163,0.3926,0.2331,0.2699,0.1043,0.4356,0.319,0.2454,0.184
687262,Jorge Corona,BIR,126,0.3492,0.246,0.3571,0.0476,0.3651,0.3968,0.2381,0.1508
691942,Jack O'Dowd,HFD,129,0.3488,0.2713,0.3178,0.062,0.4651,0.3566,0.1783,0.2481
806071,Jonny Farmelo,ARK,117,0.4103,0.2222,0.3162,0.0513,0.4615,0.3248,0.2137,0.1709
703680,Brandon Compton,PNS,119,0.3866,0.1933,0.3697,0.0504,0.4454,0.3782,0.1765,0.1765
