Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Sal Frelick","MIL","RF",87,75,677.2,139,2,1,1,0,0,0,0,0,,,,,,0.99295775,,"Sal Frelick",29622,686217
"Ryan McMahon","NYY","3B",95,67,670.1,47,120,6,3,3,5,6,0,1,,,,,,0.96531792,,"Ryan McMahon",15112,641857
"Seiya Suzuki","CHC","RF",77,76,669,162,6,2,1,1,0,0,0,0,,,,,,0.98823529,,"Seiya Suzuki",30116,673548
"Vinnie Pasquantino","KCR","1B",77,77,667,557,47,4,3,1,65,9,0,64,8,,,,,0.99342105,,"Vinnie Pasquantino",27676,686469
"JJ Bleday","CIN","LF",78,77,665,150,2,0,0,0,0,0,0,0,,,,,,1,,"JJ Bleday",26368,668709
"Ty France","SDP","1B",86,75,663,513,99,2,1,1,45,8,1,46,10,,,,,0.99674267,,"Ty France",17982,664034
"Teoscar Hernández","LAD","LF",79,77,655.1,120,3,1,1,0,0,0,0,0,,,,,,0.99193548,,"Teoscar Hernandez",13066,606192
"Austin Wells","NYY","C",82,74,654,656,28,5,3,2,0,1,0,0,,37,10,2,15,0.99274311,,"Austin Wells",27562,669224
"Jeff McNeil","ATH","2B",85,75,652.1,125,172,4,0,4,34,10,24,0,,,,,,0.98671096,,"Jeff McNeil",15362,643446
"Jackson Chourio","MIL","LF",80,70,649.2,119,3,0,0,0,0,0,0,0,,,,,,1,,"Jackson Chourio",28806,694192
"Munetaka Murakami","CHW","1B",74,73,644.1,545,40,3,3,0,41,8,2,45,12,,,,,0.99489796,,"Munetaka Murakami",37120,808959
