Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Ben Rice","NYY",479,298,91.97282010276845,105.6,110.9,14.28523489932886,47,0.15771812,143,0.47986577,0.259615384,0.265696385395096,0.550480769,0.5117108448442206,0.38341945296839663,0.3745113002600046,"Ben Rice",29576,700250
"Nick Kurtz","ATH",434,211,93.37619047619047,110.1,115.9,11.914285714285715,38,0.18009479,121,0.57345972,0.255681818,0.24398290737402065,0.482954545,0.4832136800825766,0.3803704971425674,0.37393231661814563,"Nick Kurtz",35110,701762
"Gabriel Moreno","ARI",368,267,89.22556390977444,103.4,110.9,11.87218045112782,19,0.07116105,112,0.41947566,0.30254777,0.2955320553901868,0.442675159,0.4560544918744992,0.36249269577472104,0.3715199509712115,"Gabriel Moreno",22664,672515
"Brandon Nimmo","TEX",469,324,92.04320987654322,105.5,110.5,11.256172839506172,36,0.11111111,166,0.51234568,0.274231678,0.29081796416154143,0.442080378,0.4962009583240987,0.3420654896996979,0.3694354978382078,"Brandon Nimmo",12927,607043
"Elly De La Cruz","CIN",435,269,93.88855260019083,109.8,116.3,9.923954372623575,38,0.14126394,139,0.51672862,0.274151436,0.27435903346284907,0.503916449,0.48697073916171457,0.37170170011191533,0.36847283907025774,"Elly De La Cruz",26668,682829
"Jake Bauers","MIL",412,245,92.72768433626032,107.7,114.8,10.584362139917696,34,0.13877551,131,0.53469388,0.267806267,0.25828242233232396,0.495726495,0.47677234132970103,0.3747418020057212,0.36640613697193286,"Jake Bauers",15194,641343
"Pete Crow-Armstrong","CHC",521,307,90.36733072916667,106,114.6,21.043333333333333,37,0.12052117,152,0.49511401,0.287330316,0.25592760802394127,0.545248868,0.4715180893289557,0.39927811216014303,0.365175675976184,"Pete Crow-Armstrong",27769,691718
"Riley Greene","DET",487,293,90.61911396117748,107.5,112.4,16.897610921501705,43,0.14675768,142,0.48464164,0.275119617,0.2595956975763494,0.454545454,0.4822870646937612,0.35764500270472305,0.3644119483837183,"Riley Greene",25976,682985
"Matt Olson","ATL",512,331,92.61545336174242,108.3,111.6,18.754545454545454,51,0.15407855,167,0.50453172,0.266519823,0.24925607508644626,0.548458149,0.5192671011615273,0.3790754136027428,0.3627677076444851,"Matt Olson",14344,621566
"Kyle Schwarber","PHI",497,245,92.96913580246914,108.9,113.2,21.209876543209877,41,0.16734694,126,0.51428571,0.243961352,0.23530266417718107,0.519323671,0.4808208105350522,0.37885186178930874,0.36233545369383274,"Kyle Schwarber",16478,656941
"Shea Langeliers","ATH",416,281,91.84270740658363,107.6,114.4,19.690391459074732,42,0.14946619,128,0.45551601,0.263297872,0.26790691943878825,0.497340425,0.5133643454693734,0.3567492961883545,0.36177195994675015,"Shea Langeliers",25816,669127
"Jac Caglianone","KCR",422,279,93.12724014336918,110.7,116.1,7.709677419354839,41,0.14695341,155,0.55555556,0.264102564,0.27845128377278644,0.482051282,0.5127692198142028,0.3452902080323459,0.3611228018645153,"Jac Caglianone",35041,695506
"JJ Bleday","CIN",369,235,88.4272693452381,104.3,112.6,21.082251082251084,24,0.10212766,94,0.4,0.225080385,0.24928571032239244,0.459807073,0.4509253068403764,0.3486038992125592,0.35920564420930634,"JJ Bleday",26368,668709
"Fernando Tatis Jr.","SDP",513,362,92.2052903029248,109.2,115.7,5.16991643454039,40,0.11049724,190,0.52486188,0.281318681,0.2851252629206731,0.408791208,0.4473780370020604,0.3334300006468465,0.35632140993133304,"Fernando Tatis Jr.",19709,665487
"Jonathan Aranda","TBR",492,316,90.87516172372611,104.8,111.4,13.799363057324841,32,0.10126582,141,0.44620253,0.286729857,0.26318899638344795,0.438388625,0.45241864218095845,0.3561291428918975,0.3550832846730026,"Jonathan Aranda",21837,666018
"Luis García Jr.","- - -",391,312,91.37565196644177,106.5,114,11.694805194805195,38,0.12179487,141,0.45192308,0.282258064,0.2892113856183804,0.556451612,0.506626005095195,0.3699934412451351,0.3549682934259631,"Luis Garcia Jr.",20391,671277
"Casey Schmitt","SFG",409,310,89.85113268608414,104.8,112.3,21.540453074433657,38,0.12258065,139,0.4483871,0.271317829,0.28811657366974985,0.483204134,0.5119974007878278,0.3352537529141295,0.3545897387755298,"Casey Schmitt",27577,669477
"Jordan Walker","STL",484,325,92.66461538461539,110.8,116.6,12.301538461538462,43,0.13230769,154,0.47384615,0.283446712,0.2756598682360314,0.492063492,0.4852539546906002,0.3594966487608094,0.3544858375691479,"Jordan Walker",27475,691023
"Randy Arozarena","SEA",470,310,91.08284663228156,104.6,113,8.380645161290323,25,0.08064516,133,0.42903226,0.279012345,0.2684727659319887,0.44691358,0.4286460498772045,0.361928809196391,0.35317293667335753,"Randy Arozarena",19290,668227
