Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Nasim Nuñez","WSN","2B",785.2,0,,,2,,-1,13,,14,,,,,,,,9,10,6.842182653092261,"Nasim Nunez",25979,683083
"Colson Montgomery","CHW","SS",697.2,0,,,0,,0,-4,,-4,,,,,,,,5,5,6.650167251637816,"Colson Montgomery",29712,695657
"Alex Bregman","CHC","3B",936.2,0,,,1,,0,9,,11,,,,,,,,5,5,6.530560680724434,"Alex Bregman",17678,608324
"Cedric Mullins","TBR","CF",817,0,,,,1,1,4,,6,,,,,,,,9,8,6.485769055999819,"Cedric Mullins",17929,656775
"Tristan Peters","CHW","CF",718.2,0,,,,1,-2,6,,5,,,,,,,,8,8,6.4677831001720465,"Tristan Peters",30063,671976
"Caleb Durbin","BOS","3B",931.1,0,,,0,,0,8,,10,,,,,,,,4,4,5.599810781880109,"Caleb Durbin",29646,702332
"Cody Bellinger","NYY","LF",750,0,,,,4,1,14,,19,,,,,,,,6,8,5.543457171995675,"Cody Bellinger",15998,641355
"Manny Machado","SDP","3B",890,0,,,-1,,-1,-3,,-7,,,,,,,,4,3,5.4614463108153295,"Manny Machado",11493,592518
"Michael Massey","KCR","2B",706.1,0,,,0,,0,4,,4,,,,,,,,7,5,5.397595216983779,"Michael Massey",27684,686681
"Nico Hoerner","CHC","2B",924.2,0,,,0,,1,1,,2,,,,,,,,7,6,5.377637436843971,"Nico Hoerner",21479,663538
"Jackson Merrill","SDP","CF",992,0,,,,1,8,-5,,4,,,,,,,,3,8,5.356211600990875,"Jackson Merrill",29490,701538
"William Contreras","MIL","C",801.1,-1,0,2,,,-2,,,-3,,,,,,,-2.390000104904175,,-4,5.32780970778826,"William Contreras",20503,661388
"Max Muncy","LAD","3B",850,0,,,1,,0,8,,7,,,,,,,,4,4,5.096960522214774,"Max Muncy",13301,571970
"Seiya Suzuki","CHC","RF",669,0,,,,2,1,7,,10,,,,,,,,4,7,4.976121540217719,"Seiya Suzuki",30116,673548
"Matt Chapman","SFG","3B",718.2,0,,,1,,1,13,,16,,,,,,,,4,5,4.8547324811530315,"Matt Chapman",16505,656305
"Bryson Stott","PHI","2B",900.1,0,,,-3,,-1,-3,,-7,,,,,,,,6,3,4.772280041541972,"Bryson Stott",26294,681082
"J.T. Realmuto","PHI","C",734,-3,2,-2,,,0,,,-3,,,,,,,-2.119999885559082,,1,4.724249485447231,"J.T. Realmuto",11739,592663
"Gunnar Henderson","BAL","SS",948.2,0,,,-2,,0,-4,,-6,,,,,,,,0,0,4.611827634116745,"Gunnar Henderson",26289,683002
"Ryan McMahon","NYY","3B",670.1,0,,,-1,,-1,-1,,-2,,,,,,,,3,2,4.193412607722218,"Ryan McMahon",15112,641857
"Evan Carter","TEX","CF",727.2,0,,,,-2,0,7,,5,,,,,,,,8,6,4.069255254239013,"Evan Carter",27790,694497
"Chase Meidroth","CHW","2B",951.1,0,,,2,,0,-4,,-2,,,,,,,,5,7,3.978450395350155,"Chase Meidroth",31580,805367
"Ezequiel Tovar","COL","SS",883.2,0,,,0,,4,-6,,-2,,,,,,,,0,1,3.8778736596116024,"Ezequiel Tovar",24064,678662
"Nolan Arenado","ARI","3B",912.2,0,,,0,,0,-3,,-4,,,,,,,,2,2,3.7077388330123267,"Nolan Arenado",9777,571448
"Kyle Karros","COL","3B",847.1,0,,,0,,0,-4,,-4,,,,,,,,1,2,3.2876576147848215,"Kyle Karros",33252,691720
"Jarren Duran","BOS","LF",806,0,,,,2,1,4,,7,,,,,,,,5,5,2.4911529961315653,"Jarren Duran",24617,680776
"Ketel Marte","ARI","2B",785.2,0,,,1,,1,-2,,0,,,,,,,,2,3,2.1312380417438797,"Ketel Marte",13613,606466
"Cam Smith","HOU","RF",938.1,0,,,,3,-2,4,,5,,,,,,,,6,5,2.077246674399878,"Cam Smith",35108,701358
"Wilyer Abreu","BOS","RF",995.1,0,,,,6,1,14,,21,,,,,,,,4,5,1.934397750155778,"Wilyer Abreu",23772,677800
"Isaac Paredes","HOU","3B",803.1,0,,,0,,1,-4,,-4,,,,,,,,0,0,1.7709897549611568,"Isaac Paredes",20036,670623
"Ian Happ","CHC","LF",945.2,0,,,,1,2,2,,5,,,,,,,,1,5,1.6407746274833777,"Ian Happ",17919,664023
"Corbin Carroll","ARI","RF",958.1,0,,,,0,0,11,,11,,,,,,,,10,5,1.5182946730174995,"Corbin Carroll",25878,682998
"Jakob Marsee","MIA","CF",900.1,0,,,,-5,-1,-5,,-11,,,,,,,,6,3,1.3249537104760765,"Jakob Marsee",31370,805300
"Taylor Walls","TBR","SS",784.2,0,,,0,,-1,15,,14,,,,,,,,-3,-3,1.1792777829871057,"Taylor Walls",22458,670764
"Tyler Stephenson","CIN","C",712,-8,1,-1,,,3,,,-5,,,,,,,-8.220000267028809,,-6,1.1533789406367667,"Tyler Stephenson",17988,663886
"Garrett Mitchell","MIL","CF",823,0,,,,-1,0,2,,1,,,,,,,,4,3,1.0340670268210606,"Garrett Mitchell",27555,669003
"Austin Riley","ATL","3B",1009,0,,,0,,1,-2,,1,,,,,,,,-2,-2,1.028202811761434,"Austin Riley",18360,663586
"Daulton Varsho","- - -","CF",818.2,0,,,,-2,0,0,,-2,,,,,,,,4,3,0.7494446158191819,"Daulton Varsho",19918,662139
"Daylen Lile","WSN","LF",843.2,0,,,,2,0,7,,9,,,,,,,,2,3,0.49749980702470964,"Daylen Lile",29995,695734
"Trea Turner","PHI","SS",971.2,0,,,-4,,0,-7,,-11,,,,,,,,-6,-7,0.2280644973013768,"Trea Turner",16252,607208
"Chandler Simpson","TBR","LF",893,0,,,,-3,1,7,,5,,,,,,,,6,3,0.16074610921669485,"Chandler Simpson",31912,802415
"Josh Jung","TEX","3B",782,0,,,-1,,-1,-8,,-12,,,,,,,,-3,-4,-0.11944328856237219,"Josh Jung",26299,673962
"Kazuma Okamoto","TOR","3B",924,0,,,-1,,1,-1,,0,,,,,,,,-4,-3,-0.21303208361552373,"Kazuma Okamoto",37123,672960
"Xavier Edwards","MIA","2B",972,0,,,0,,1,-3,,-2,,,,,,,,-1,0,-0.3558120259904496,"Xavier Edwards",22266,669364
"Zach Neto","LAA","SS",986.1,0,,,2,,-2,0,,0,,,,,,,,-8,-4,-0.45771747923390116,"Zach Neto",31347,687263
"Ozzie Albies","ATL","2B",1025,0,,,-1,,1,1,,1,,,,,,,,-2,-3,-0.7832937944266283,"Ozzie Albies",16556,645277
"Ty France","SDP","1B",663,0,,,0,,1,9,,11,,,,,,,,5,4,-0.8519174122394206,"Ty France",17982,664034
"Carson Benge","NYM","RF",750,0,,,,3,-1,0,,2,,,,,,,,-2,1,-1.015226925066985,"Carson Benge",35177,701807
"Miguel Vargas","CHW","3B",785.2,0,,,1,,0,-5,,-3,,,,,,,,-4,-2,-1.1701751786203192,"Miguel Vargas",20178,678246
"Travis Bazzana","CLE","2B",715.1,0,,,-1,,0,-2,,-3,,,,,,,,-3,-2,-1.5596095355351194,"Travis Bazzana",34967,683953
"Jackson Chourio","MIL","LF",649.2,0,,,,-2,0,2,,0,,,,,,,,1,0,-1.691494688209559,"Jackson Chourio",28806,694192
"Alec Bohm","PHI","3B",895.2,0,,,-1,,0,-6,,-8,,,,,,,,-6,-5,-1.8996165596964047,"Alec Bohm",21618,664761
"TJ Rumfield","COL","1B",819.2,0,,,0,,0,9,,9,,,,,,,,5,5,-1.9289484712869678,"TJ Rumfield",29805,681198
"Cole Young","SEA","2B",1013.1,0,,,0,,0,11,,11,,,,,,,,-4,-2,-1.9774694921825478,"Cole Young",31680,702284
"Jose Altuve","HOU","2B",738.1,0,,,0,,-1,-10,,-11,,,,,,,,-3,-4,-2.2550757787958915,"Jose Altuve",5417,514888
"Justin Crawford","PHI","CF",818.2,0,,,,-1,0,-4,,-5,,,,,,,,-1,0,-2.2648599396034323,"Justin Crawford",31791,702222
"Jeff McNeil","ATH","2B",652.1,0,,,-1,,0,-2,,-3,,,,,,,,-4,-3,-2.4470210159818024,"Jeff McNeil",15362,643446
"Isaac Collins","KCR","LF",850,0,,,,2,-1,1,,2,,,,,,,,-2,0,-2.7669679713658235,"Isaac Collins",25477,686555
"Julio Rodríguez","SEA","CF",870,0,,,,2,2,-6,,-2,,,,,,,,-2,-1,-3.1726011822503244,"Julio Rodriguez",23697,677594
"JJ Bleday","CIN","LF",665,0,,,,-1,0,1,,0,,,,,,,,-1,-1,-3.3015481223282213,"JJ Bleday",26368,668709
"Nolan Schanuel","LAA","1B",811.1,0,,,0,,-2,1,,0,,,,,,,,3,3,-3.4009697075955687,"Nolan Schanuel",33189,694384
"Taylor Ward","BAL","LF",793,0,,,,0,2,3,,5,,,,,,,,-1,-1,-3.427581453969332,"Taylor Ward",17548,621493
"Mike Trout","LAA","CF",704.2,0,,,,-1,0,-6,,-7,,,,,,,,-3,-2,-3.561748511187199,"Mike Trout",10155,545361
"Matt Olson","ATL","1B",1034,0,,,1,,-1,5,,5,,,,,,,,5,5,-3.682600785583741,"Matt Olson",14344,621566
"Pete Alonso","BAL","1B",966.1,0,,,0,,2,-1,,2,,,,,,,,4,4,-3.797122505704709,"Pete Alonso",19251,624413
"Vladimir Guerrero Jr.","TOR","1B",829.2,0,,,0,,1,6,,7,,,,,,,,3,3,-3.851776962407511,"Vladimir Guerrero Jr.",19611,665489
"Vinnie Pasquantino","KCR","1B",667,0,,,0,,1,4,,5,,,,,,,,1,1,-3.9300272017974,"Vinnie Pasquantino",27676,686469
"Marcus Semien","NYM","2B",861.2,0,,,-3,,-2,-1,,-6,,,,,,,,-5,-5,-3.960868876443345,"Marcus Semien",12533,543760
"Ernie Clement","TOR","2B",731.2,0,,,0,,0,-5,,-5,,,,,,,,-6,-4,-3.9745609784884395,"Ernie Clement",20352,676391
"Teoscar Hernández","LAD","LF",655.1,0,,,,1,-1,-1,,-1,,,,,,,,-2,-2,-4.131948736487688,"Teoscar Hernandez",13066,606192
"Nick Gonzales","PIT","3B",767.1,0,,,0,,0,-13,,-12,,,,,,,,-9,-7,-4.36355307390224,"Nick Gonzales",27490,693304
"Sal Frelick","MIL","RF",677.2,0,,,,-2,-2,3,,-1,,,,,,,,0,-2,-4.4158278559110755,"Sal Frelick",29622,686217
"Trent Grisham","NYY","CF",767.1,0,,,,0,-1,-5,,-6,,,,,,,,-4,-3,-4.47254256735538,"Trent Grisham",18564,663757
"Freddie Freeman","LAD","1B",965.2,0,,,0,,1,1,,2,,,,,,,,3,3,-4.604046910248748,"Freddie Freeman",5361,518692
"Michael Busch","CHC","1B",1031.2,0,,,0,,1,-3,,-1,,,,,,,,4,3,-4.743209300139208,"Michael Busch",26319,683737
"Bryan Reynolds","PIT","LF",713.2,0,,,,-1,4,2,,5,,,,,,,,-3,-3,-4.842002462351267,"Bryan Reynolds",19326,668804
"Luis García Jr.","- - -","1B",694,0,,,0,,0,3,,1,,,,,,,,0,1,-5.15226414059773,"Luis Garcia Jr.",20391,671277
"Jung Hoo Lee","SFG","RF",794.1,0,,,,-2,-1,-1,,-4,,,,,,,,-2,-3,-5.155518005234662,"Jung Hoo Lee",33824,808982
"Rafael Devers","SFG","1B",756,0,,,0,,-1,3,,1,,,,,,,,0,0,-5.350800808938989,"Rafael Devers",17350,646240
"Willy Adames","SFG","SS",973,0,,,0,,-1,0,,-1,,,,,,,,-13,-10,-5.397108343042054,"Willy Adames",15986,642715
"Jake Burger","TEX","1B",944.1,0,,,1,,-1,4,,4,,,,,,,,2,2,-5.665311729989993,"Jake Burger",22275,669394
"Munetaka Murakami","CHW","1B",644.1,0,,,0,,0,-3,,-3,,,,,,,,-1,-1,-5.807685437922671,"Munetaka Murakami",37120,808959
"Brandon Marsh","PHI","LF",746.2,0,,,,-4,-2,5,,-1,,,,,,,,0,-4,-6.23668386489051,"Brandon Marsh",20202,669016
"Josh Naylor","SEA","1B",965.1,0,,,0,,-1,-6,,-7,,,,,,,,1,1,-6.577947965459563,"Josh Naylor",18839,647304
"Christian Walker","HOU","1B",948.1,0,,,0,,2,-1,,1,,,,,,,,0,1,-6.593254719651973,"Christian Walker",13419,572233
"Brandon Nimmo","TEX","RF",854.1,0,,,,-4,2,0,,-2,,,,,,,,-2,-4,-6.690769068242379,"Brandon Nimmo",12927,607043
"Junior Caminero","TBR","3B",1009.2,0,,,1,,0,-1,,1,,,,,,,,-13,-8,-6.7307234014293265,"Junior Caminero",28163,691406
"Riley Greene","DET","LF",908.2,0,,,,-4,-1,-2,,-7,,,,,,,,-1,-4,-6.863268965448313,"Riley Greene",25976,682985
"Kyle Tucker","LAD","RF",934.2,0,,,,-3,2,-6,,-7,,,,,,,,-6,-4,-7.044061418267592,"Kyle Tucker",18345,663656
"Willson Contreras","BOS","1B",870.1,0,,,0,,0,-2,,-2,,,,,,,,-1,-1,-7.133382774794115,"Willson Contreras",11609,575929
"Randy Arozarena","SEA","LF",927.1,0,,,,0,0,1,,1,,,,,,,,-4,-5,-7.8000726265381815,"Randy Arozarena",19290,668227
"Nick Kurtz","ATH","1B",822,0,,,0,,2,2,,5,,,,,,,,-3,-2,-8.012107446106883,"Nick Kurtz",35110,701762
"Jonathan Aranda","TBR","1B",934,0,,,0,,0,-6,,-5,,,,,,,,-2,-1,-8.24984984010497,"Jonathan Aranda",21837,666018
"Jo Adell","- - -","RF",904.1,0,,,,-2,2,-2,,-2,,,,,,,,-2,-6,-8.376807106574075,"Jo Adell",20220,666176
"Tyler Soderstrom","ATH","LF",851.1,0,,,,3,1,-2,,2,,,,,,,,-8,-6,-8.459974964281683,"Tyler Soderstrom",27467,691016
"Sam Antonacci","CHW","LF",684.1,0,,,,-1,-1,-1,,-3,,,,,,,,-5,-6,-8.534516700446929,"Sam Antonacci",35101,803011
"CJ Abrams","WSN","SS",952.2,0,,,0,,1,-7,,-6,,,,,,,,-18,-13,-9.086417281810355,"CJ Abrams",25768,682928
"Jordan Walker","STL","RF",943,0,,,,-1,2,-1,,0,,,,,,,,-7,-6,-9.150819195315957,"Jordan Walker",27475,691023
"Alec Burleson","STL","1B",968.1,0,,,0,,1,-6,,-7,,,,,,,,-3,-2,-9.595353613194776,"Alec Burleson",27615,676475
"Bryce Harper","PHI","1B",912.2,0,,,0,,0,-1,,0,,,,,,,,-5,-4,-10.212739038159125,"Bryce Harper",11579,547180
"Spencer Torkelson","DET","1B",977.2,0,,,1,,1,-8,,-7,,,,,,,,-12,-9,-16.437986808510686,"Spencer Torkelson",27465,679529
